player,badge_id,badge_name,badge_icon,earned_date
Kuniggsbog,first_contact,First Contact,🤖,2026-03-25
-Baba Yaga-,first_contact,First Contact,🤖,2026-03-25
Kuniggsbog,power_user,Power User,⚡,2026-03-25
Dn4lor,first_contact,First Contact,🤖,2026-03-25
High Lord Timbum,first_contact,First Contact,🤖,2026-03-25
marco965,first_contact,First Contact,🤖,2026-03-25
Selene the Blessed 1233,first_contact,First Contact,🤖,2026-03-25
Bernini,first_contact,First Contact,🤖,2026-03-26
