Player_ID;Player;Actions;Progress
705849;lasherbob;4687900;13360
855031788;Blackcong;4134500;11790
10593569;Badvok the Bold;3974000;11320
854719004;soldier00;3725000;10570
853267111;Kuniggsbog;3678100;10430
855546281;pForm;3667400;10430
2277993;Crusaderx;3582200;10200
854681998;Zodman;3404400;9700
47808;vagelis99;3392100;9620
851914808;Selene the Blessed 1233;3084000;8730
12782869;Qi the coconut;3066300;8730
6730017;Peace.;3037300;8640
1436378;Dn4lor;3025300;8620
4225910;Hadrian the Intrepid 121;2990700;8500
849762034;Diddler;2880700;8190
1758550;marco965;2874600;8170
853257593;Footsoldier;2857500;8050
853774595;Mr Sonic;2828000;8050
850518321;alterdestiny;2752200;7820
849566070;Aspandiat;2721500;7750
1891201;edman4444;2665000;7570
855299275;Thesseuss;2663100;7520
9762415;0p1ate;2642800;7510
850665098;Ellwinara;2492900;7070
7954450;Bloody Pastor;2469000;7030
1428445;MarkD1964;2463900;6990
851598404;-Baba Yaga-;2431600;6880
45238;Frodoo;2422700;6880
854719448;ludwig2;2387000;6780
11807816;Dpunk;2363400;6700
6141929;Carra;2350700;6670
13309306;Ser Arthur Dayne.;2296600;6530
849603210;TSTT;2229400;6310
4194345;becop;2181000;6200
12992719;ChilliBeanz62;2172900;6170
5544177;michealscott123;2190600;6150
4765723;djcdjc;2110900;6000
4749897;DutchTheIV;2102300;5970
849612867;TINY HEROS;2100100;5970
8622496;Waynes world1;2087000;5940
850445151;Swan76;2080900;5920
851616738;MagicI;2027400;5750
5374197;Pammy Norrie;2005100;5690
827787;pywackit;2003300;5680
850938639;Green II;1987000;5650
5367654;King John of Ambler;1992200;5640
851800597;Meandmyself;1955900;5540
11245188;Bernini;1902500;5410
1148549;mehdialone;1888000;5350
853520455;Phillip the Fair;1861100;5260
11899618;Master A;1849700;5250
849380627;FastGunner;1844000;5230
854554840;SirRobert Artur;1799100;5110
853735377;MOMIS;1791600;5090
854648420;Pollar;1791500;5080
9795849;Magnus the Terrible 439;1748300;4970
850331824;Brocksta;1666700;4730
851298155;willow324;1677500;4720
853116853;Master Jai;1646200;4680
852293256;Rolanddd;1573900;4430
2465641;=Alpha=Wolf=;1510400;4280
761097;gareth dragonsbane;1434000;3970
1724508;cvetkovic;1405000;3960
104779;VITORO;1414100;3910
850307582;Rex Bellator;1339400;3770
9574867;Salikas;1338300;3720
854882618;CCCC123;1289300;3670
850481022;TRTLC;1257900;3510
851585890;SharpSabrina;1182300;3280
11482655;El Kabong;1133700;3120
854714000;sixtyodin;602200;1650
12714764;Jaffa The O;131900;370
