Player_ID;Player;Actions;Progress
705849;lasherbob;4374100;12440
853267111;Kuniggsbog;3751100;10670
10593569;Badvok the Bold;3568100;10160
2277993;Crusaderx;3426600;9750
854719004;soldier00;3419500;9730
854681998;Zodman;3376600;9610
855031788;Blackcong;3368500;9590
853257593;Footsoldier;3129600;8810
47808;vagelis99;3036600;8640
6141929;Carra;2955800;8410
851914808;Selene the Blessed 1233;2858200;8140
855546281;pForm;2861500;8110
1436378;Dn4lor;2836000;8080
6730017;Peace.;2829600;8050
855299275;Thesseuss;2733600;7620
1758550;marco965;2678300;7590
9762415;0p1ate;2545100;7240
12782869;Qi the coconut;2504900;7130
850518321;alterdestiny;2489200;7080
850665098;Ellwinara;2466800;7000
4225910;Hadrian the Intrepid 121;2378200;6760
45238;Frodoo;2372100;6740
849566070;Aspandiat;2360500;6670
7954450;Bloody Pastor;2294000;6530
1428445;MarkD1964;2280700;6480
849762034;Diddler;2262500;6440
851598404;-Baba Yaga-;2248800;6390
853774595;Mr Sonic;2193900;6240
13309306;Ser Arthur Dayne.;2126300;6040
849612867;TINY HEROS;2081900;5920
854882618;CCCC123;2070600;5890
851616738;MagicI;2085500;5880
827787;pywackit;2015600;5730
12992719;ChilliBeanz62;2007500;5710
849603210;TSTT;2009700;5670
850445151;Swan76;1993600;5670
850938639;Green II;1983400;5630
5374197;Pammy Norrie;1981200;5630
8622496;Waynes world1;1967800;5600
5367654;King John of Ambler;1973100;5580
4194345;becop;1966300;5580
11899618;Master A;1958600;5550
1891201;edman4444;1948600;5510
851800597;Meandmyself;1952200;5490
11807816;Dpunk;1886800;5340
853197494;DaFunkyMonkey;1865700;5270
4749897;DutchTheIV;1825000;5180
853735377;MOMIS;1813200;5150
849380627;FastGunner;1779600;5060
853520455;Phillip the Fair;1726000;4890
4765723;djcdjc;1695000;4800
852293256;Rolanddd;1725800;4790
850331824;Brocksta;1640800;4660
1148549;mehdialone;1637500;4640
9795849;Magnus the Terrible 439;1622300;4590
104779;VITORO;1614200;4560
851585890;SharpSabrina;1564800;4390
851298155;willow324;1511700;4290
854554840;SirRobert Artur;1496500;4210
854648420;Pollar;1493100;4200
2465641;=Alpha=Wolf=;1465100;4160
850307582;Rex Bellator;1426800;4040
9574867;Salikas;1412100;4000
850481022;TRTLC;1430000;3980
854714000;sixtyodin;1405700;3910
1724508;cvetkovic;1230000;3450
1726167;Bendrr;1202400;3410
11245188;Bernini;1166900;3310
11482655;El Kabong;1128000;3180
853116853;Master Jai;791100;2240
761097;gareth dragonsbane;299700;760
12714764;Jaffa The O;268500;720
