sequence,player_name,status,attempt,failed_reason,popup_name_debug,fp_production,units_production,goods_production,guild_goods_production,critical_hit,main_attack,main_defense,defending_units_attack,defending_units_defense,gbg_attack,gbg_defense,gbg_defending_units_attack,gbg_defending_units_defense,ge_attack,ge_defense,ge_defending_units_attack,ge_defending_units_defense
63,Brad Field of green,ok,1,warning_name_mismatch_expected_Brad Field of green_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,11262,926,8202,9390,,6862,5542,5814,5221,10808,10038,9381,10181,12230,11429,10896,11072
64,Dpunk,ok,1,warning_name_mismatch_expected_Dpunk_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,6042,639,5930,15995,41.91,6472,5904,6300,6041,11261,11012,11478,11801,8039,7951,7707,7974
65,SirRobert Artur,ok,1,warning_name_mismatch_expected_SirRobert Artur_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,6118,421,3940,3885,36.65,2291,1822,2004,2194,3459,3162,3454,4037,3800,3622,3831,4318
66,VixenQueen,ok,1,warning_name_mismatch_expected_VixenQueen_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,4017,508,4328,5415,19.77,2580,2389,2214,1965,3862,3803,2923,3864,4445,4388,3624,3617
67,Odinn,ok,1,warning_name_mismatch_expected_Odinn_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,7675,767,5055,15205,44.8,6287,5861,5927,6184,10201,9831,9871,10531,10621,11244,10520,11574
68,Rider on the Storm,ok,1,warning_name_mismatch_expected_Rider on the Storm_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,6702,741,7112,7245,33.11,5127,3850,3751,4275,7171,6422,5140,6721,8182,7687,6963,8424
69,Phillip the Fair,ok,1,warning_name_mismatch_expected_Phillip the Fair_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,12438,1475,6326,15875,,8711,8037,8013,8352,14068,13651,12939,13765,13207,12764,11873,12461
70,FastGunner,ok,1,warning_name_mismatch_expected_FastGunner_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,19494,1038,13215,22335,27.37,8550,7630,8322,7789,13140,12064,11861,11752,12124,11597,12331,12592
71,Cliff59,ok,1,warning_name_mismatch_expected_Cliff59_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,9311,1423,4659,8280,7.39,6421,8699,6487,9499,11005,13255,11263,13772,10188,12469,10349,13420
72,Claudius titus,ok,1,warning_name_mismatch_expected_Claudius titus_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,6968,609,1265,4465,18.08,3596,3935,3407,3634,6090,6137,5114,5253,7171,7337,7194,7251
73,Meandmyself,ok,1,warning_name_mismatch_expected_Meandmyself_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,8101,447,4578,9220,,3708,3527,3415,3087,6755,6969,6058,6336,5811,6115,5605,5823
74,michealscott123,ok,1,warning_name_mismatch_expected_michealscott123_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,8189,,2961,9130,41.55,6303,7905,6274,8528,10689,12241,10662,12723,9854,12059,9922,12777
75,Waikis,ok,1,warning_name_mismatch_expected_Waikis_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,2389,,1347,5265,13.79,2275,2159,2156,2073,3208,2914,2934,2682,3444,3286,3352,3304
