rank;member_id;member;points;eraID;eraName;guildgoods;activity_warnings;messages;gex_participation;gbg_participation;won_battles;guildmember
1;705849;lasherbob;9217684610;23;SASH;48920;0;448;14;30;1010812;1
2;2277993;Crusaderx;8302554783;23;SASH;27080;0;624;13;30;1383422;1
3;10593569;Badvok the Bold;7621744709;23;SASH;38615;0;74;13;30;919501;1
4;104779;VITORO;7020164508;23;SASH;21360;0;1;12;30;1523699;1
5;8622496;Waynes world1;6730361746;23;SASH;32210;0;343;15;30;1021235;1
6;45238;Frodoo;5802645582;23;SASH;28105;0;5;13;30;640574;1
7;4225910;Hadrian the Intrepid 121;5793134264;23;SASH;30690;0;87;13;30;839836;1
8;1758550;marco965;5175672696;23;SASH;38525;0;85;5;9;572366;1
9;1148549;mehdialone;5168043140;23;SASH;12555;3;36;13;30;881792;1
10;849603210;TSTT;5049882342;23;SASH;39875;0;211;16;30;560825;1
11;853267111;Kuniggsbog;4878065506;23;SASH;33185;0;1514;16;30;394192;1
12;1436378;Dn4lor;4799443328;23;SASH;41225;0;671;13;30;617001;1
13;1891201;edman4444;4638183066;23;SASH;34135;1;54;13;30;486212;1
14;6141929;Carra;4513018738;23;SASH;34590;0;1767;8;30;598026;1
15;4194345;becop;4091345825;23;SASH;16990;0;19;12;30;462727;1
16;852293256;Rolanddd;3975773197;23;SASH;24830;1;3;15;30;656823;1
17;850518321;alterdestiny;3929639161;23;SASH;25050;0;432;15;24;360530;1
18;853735377;MOMIS;3690873639;23;SASH;27460;0;45;7;11;397716;1
19;827787;pywackit;3591056440;23;SASH;21925;0;3;15;30;600165;1
20;2465641;=Alpha=Wolf=;3378962135;23;SASH;12255;0;31;13;30;528406;1
21;850307582;Rex Bellator;3295495234;22;SAT;17120;0;14;14;28;566480;1
22;1724508;cvetkovic;3204332706;23;SASH;14440;0;13;13;29;615950;1
23;849566070;Aspandiat;3185626258;22;SAT;38180;0;216;15;30;550943;1
24;849694740;Mournblade;2935720223;23;SASH;14555;0;4;0;2;511283;1
25;850938639;Green II;2917965760;23;SASH;21550;0;2;0;1;375659;1
26;40674;VFRMark.;2886769171;23;SASH;17240;0;451;0;3;410585;1
27;855031788;Blackcong;2841013357;23;SASH;27980;0;592;8;14;225292;1
28;850665098;Ellwinara;2659419798;23;SASH;29070;0;228;10;30;336238;1
29;7954450;Bloody Pastor;2616744508;14;FE;20120;0;430;0;2;966832;1
30;5374197;Pammy Norrie;2512596470;23;SASH;17710;5;50;14;30;392248;1
31;11899618;Master A;2455933133;23;SASH;12625;0;5;11;16;361616;1
32;9795849;Magnus the Terrible 439;2440809166;18;SAM;20840;0;98;15;30;738758;1
33;9574867;Salikas;2395974106;23;SASH;8645;0;1;6;11;326141;1
34;12992719;ChilliBeanz62;2333598865;22;SAT;21240;0;16;11;30;464947;1
35;854681998;Zodman;2248019027;21;SAJM;26690;0;608;16;29;341226;1
36;850445151;Swan76;2236325857;20;SAV;12605;0;49;15;30;482439;1
37;853197494;DaFunkyMonkey;2071273568;23;SASH;15145;0;45;0;2;212156;1
38;4749897;DutchTheIV;2038761820;23;SASH;13545;0;22;13;30;284424;1
39;1234051;Devils Deciple.;1960945772;22;SAT;5360;0;108;0;3;416613;1
40;5367654;King John of Ambler;1952170091;22;SAT;15260;0;42;15;30;350879;1
41;851598404;-Baba Yaga-;1916558927;21;SAJM;18280;0;1942;15;29;514706;1
42;850331824;Brocksta;1836434160;22;SAT;23845;0;68;14;29;531491;1
43;853659232;friendly;1468411759;19;SAAB;10225;0;3;2;4;330536;1
44;11482655;El Kabong;1467799311;22;SAT;14940;1;120;14;29;397829;1
45;854648420;Pollar;1385230385;22;SAT;20375;0;224;12;19;232707;1
46;851914808;Selene the Blessed 1233;1270664266;18;SAM;28995;0;196;14;23;347888;1
47;854882618;CCCC123;1201872887;19;SAAB;11210;0;30;5;11;164305;1
48;855546281;pForm;1195928843;22;SAT;21320;0;175;4;8;86935;1
49;851616738;MagicI;1192799164;18;SAM;16385;1;265;11;30;468332;1
50;851298155;willow324;1101765329;22;SAT;15940;0;4;14;30;295761;1
51;11442171;High Lord Timbum;1082427918;22;SAT;15180;0;112;1;4;213869;1
52;11245188;Bernini;1041317928;18;SAM;22845;0;65;13;29;378571;1
53;851513926;-=LEO=-;1011426091;14;FE;24125;0;249;0;3;405427;1
54;9762415;0p1ate;994960118;16;OF;19390;0;364;15;30;655876;1
55;849612867;TINY HEROS;919783220;14;FE;22400;0;71;15;30;481453;1
56;854719448;ludwig2;772359351;21;SAJM;17985;0;0;2;7;124612;1
57;854719004;soldier00;682994206;22;SAT;10920;0;6;5;9;74382;1
58;851585890;SharpSabrina;679086852;23;SASH;10045;0;38;5;10;179606;1
59;13309306;Ser Arthur Dayne.;640197484;15;AF;10075;0;6;11;30;359851;1
60;12685645;Brudzilla;575319117;19;SAAB;10645;0;142;0;4;99516;1
61;854714000;sixtyodin;538982815;16;OF;6170;0;40;6;12;121908;1
62;3556826;peri1;494239924;14;FE;16305;0;9;1;3;115233;1
63;853106102;Brad Field of green;446631658;14;FE;9185;2;7;3;6;129162;1
64;11807816;Dpunk;411286299;5;HMA;15995;0;453;16;30;1083385;1
65;854554840;SirRobert Artur;362020725;17;VF;3855;0;0;2;8;92919;1
66;853109616;VixenQueen;327479200;14;FE;5405;0;21;2;4;125038;1
67;853797540;Odinn;321904473;16;OF;15155;0;12;3;6;88954;1
68;852945970;Rider on the Storm;304117685;9;PE;6425;0;8;0;2;149040;1
69;853520455;Phillip the Fair;290901760;10;ME;16325;0;45;13;25;123383;1
70;849380627;FastGunner;260763820;8;InA;14065;0;204;14;30;190828;1
71;12351572;Cliff59;226223301;14;FE;7550;0;89;3;6;51202;1
72;855640309;Claudius titus;222802545;16;OF;4125;0;4;0;3;47566;1
