rank;member_id;member;points;eraID;eraName;guildgoods;activity_warnings;messages;gex_participation;gbg_participation;won_battles;guildmember
48;851616738;MagicI;1180729268;18;SAM;16385;1;265;11;30;467409;1
49;855546281;pForm;1156858015;22;SAT;21320;0;174;4;8;85287;1
50;11442171;High Lord Timbum;1076507819;22;SAT;14730;0;112;1;4;213197;1
51;851298155;willow324;1059161295;22;SAT;15940;0;4;14;30;294567;1
52;11245188;Bernini;1030471790;18;SAM;22845;0;65;13;29;377322;1
53;851513926;-=LEO=-;1008803184;14;FE;24125;0;206;0;3;404369;1
54;9762415;0p1ate;990066325;16;OF;19390;0;360;15;30;654470;1
55;849612867;TINY HEROS;912909402;14;FE;22400;0;70;15;30;480366;1
56;854719448;ludwig2;759293047;21;SAJM;17985;0;0;2;7;123968;1
57;854719004;soldier00;678266903;22;SAT;10920;0;6;5;9;74072;1
58;13309306;Ser Arthur Dayne.;638909591;15;AF;10075;0;6;11;30;359351;1
59;12685645;Brudzilla;563634807;19;SAAB;10645;0;128;0;4;98423;1
60;854714000;sixtyodin;532616846;16;OF;6170;0;39;6;12;121394;1
61;3556826;peri1;488844694;14;FE;16305;0;7;1;3;114486;1
62;853106102;Brad Field of green;446301802;14;FE;9185;2;7;3;6;129077;1
63;11807816;Dpunk;410850249;5;HMA;15995;0;453;16;30;1081705;1
64;854554840;SirRobert Artur;360522817;17;VF;3855;0;0;2;8;92701;1
65;853109616;VixenQueen;325180471;14;FE;5405;0;20;2;4;124456;1
66;853797540;Odinn;319576622;16;OF;15155;0;11;3;6;88736;1
67;852945970;Rider on the Storm;299932616;9;PE;6425;0;5;0;2;147924;1
68;853520455;Phillip the Fair;289270686;10;ME;16325;0;45;13;25;123013;1
69;849380627;FastGunner;259323009;8;InA;14065;0;204;14;30;190278;1
70;12351572;Cliff59;222539625;14;FE;7550;0;88;3;6;50566;1
71;855640309;Claudius titus;216663716;16;OF;4125;0;3;0;3;46556;1
72;851800597;Meandmyself;208615634;6;LMA;9220;0;313;14;29;441232;1
73;5544177;michealscott123;150522401;14;FE;8560;0;305;2;7;77371;1
74;853564293;Waikis;17114062;5;HMA;5115;0;20;0;3;13059;1
