rank;member_id;member;points;eraID;eraName;guildgoods;activity_warnings;messages;gex_participation;gbg_participation;won_battles;guildmember
1;705849;lasherbob;9148500400;23;SASH;40560;0;442;14;30;1008603;1
2;2277993;Crusaderx;8273127347;23;SASH;27080;0;619;13;30;1382176;1
3;10593569;Badvok the Bold;7572153185;23;SASH;38615;0;74;13;30;917742;1
4;104779;VITORO;7009811762;23;SASH;21150;0;1;12;30;1523167;1
5;8622496;Waynes world1;6692101166;23;SASH;32210;0;342;15;30;1020079;1
6;4225910;Hadrian the Intrepid 121;5753981700;23;SASH;30690;0;86;13;30;838416;1
7;45238;Frodoo;5749880104;23;SASH;28105;0;5;13;30;639228;1
8;1148549;mehdialone;5167670960;23;SASH;12555;2;36;13;30;881792;1
9;1758550;marco965;5125300997;23;SASH;38525;0;82;5;9;570641;1
10;849603210;TSTT;5032214584;23;SASH;39875;0;211;16;30;559330;1
11;853267111;Kuniggsbog;4835158489;23;SASH;32985;0;1514;16;30;392389;1
12;1436378;Dn4lor;4783122495;23;SASH;41225;0;665;13;30;616656;1
13;1891201;edman4444;4603561487;23;SASH;33855;1;54;13;30;484888;1
14;6141929;Carra;4491614628;23;SASH;27410;0;1752;8;30;596611;1
15;4194345;becop;4068035346;23;SASH;16990;0;19;12;30;461678;1
16;852293256;Rolanddd;3954420346;23;SASH;23570;1;1;15;30;656230;1
17;850518321;alterdestiny;3891254794;23;SASH;17830;0;424;15;24;358810;1
18;853735377;MOMIS;3646045537;23;SASH;26950;0;45;7;11;396064;1
19;827787;pywackit;3571077382;23;SASH;14815;0;3;15;30;598719;1
20;2465641;=Alpha=Wolf=;3375182567;23;SASH;12255;0;31;13;30;528124;1
21;850307582;Rex Bellator;3286652012;22;SAT;17080;0;13;14;28;566109;1
22;1724508;cvetkovic;3196723709;23;SASH;14440;0;13;13;29;615710;1
23;849566070;Aspandiat;3146723325;22;SAT;38180;0;216;15;30;549361;1
24;849694740;Mournblade;2917216024;23;SASH;14555;0;4;0;2;510147;1
25;850938639;Green II;2893169234;23;SASH;21550;0;2;0;1;374072;1
26;40674;VFRMark.;2851495610;23;SASH;17115;0;400;0;3;409396;1
27;855031788;Blackcong;2799944900;23;SASH;27980;0;589;8;14;224014;1
28;850665098;Ellwinara;2634479867;23;SASH;29070;0;221;10;30;334980;1
29;7954450;Bloody Pastor;2607522490;14;FE;20120;0;403;0;2;965284;1
30;5374197;Pammy Norrie;2505130605;23;SASH;17710;5;50;14;30;391474;1
31;11899618;Master A;2437421643;23;SASH;12625;0;5;11;16;360660;1
32;9795849;Magnus the Terrible 439;2428578361;18;SAM;20840;0;98;15;30;737148;1
33;9574867;Salikas;2383101903;23;SASH;8645;0;1;6;11;325087;1
34;12992719;ChilliBeanz62;2321200374;22;SAT;21240;0;16;11;30;464141;1
35;850445151;Swan76;2219268805;20;SAV;12605;0;47;15;30;481526;1
36;854681998;Zodman;2214221314;21;SAJM;26690;0;606;16;29;340049;1
37;853197494;DaFunkyMonkey;2065932175;23;SASH;15080;0;45;0;2;211903;1
38;4749897;DutchTheIV;2024131105;23;SASH;13545;0;22;13;30;283228;1
39;5367654;King John of Ambler;1944963922;22;SAT;15260;0;42;15;30;350173;1
40;1234051;Devils Deciple.;1938074774;22;SAT;5360;0;91;0;3;413996;1
41;851598404;-Baba Yaga-;1901821742;21;SAJM;17480;0;1910;15;29;512910;1
42;850331824;Brocksta;1824713479;22;SAT;23845;0;68;14;29;530659;1
43;11482655;El Kabong;1462125639;22;SAT;14940;1;120;14;29;397261;1
44;853659232;friendly;1451843846;19;SAAB;10225;0;2;2;4;329013;1
45;854648420;Pollar;1371492669;22;SAT;20375;0;221;12;19;231285;1
46;851914808;Selene the Blessed 1233;1256957684;18;SAM;28995;0;193;14;23;346159;1
47;854882618;CCCC123;1193507895;19;SAAB;11210;0;30;5;11;164076;1
