Player_ID;Player;Negotiations;Fights;Total;Attrition
12782869;Qi the coconut;0;7999;7999;93
853735377;MOMIS;0;6057;6057;32
853267111;Kuniggsbog;0;5815;5815;26
854681998;Zodman;5;5744;5754;0
9795849;Magnus the Terrible 439;300;4872;5472;39
705849;lasherbob;0;5230;5230;80
4225910;Hadrian the Intrepid 121;2;5148;5152;42
851598404;-Baba Yaga-;7;4961;4975;0
1428445;MarkD1964;0;4946;4946;0
849612867;TINY HEROS;19;4744;4782;4
2277993;Crusaderx;0;4667;4667;28
851914808;Selene the Blessed 1233;1;4599;4601;0
9762415;0p1ate;21;4542;4584;42
855299275;Thesseuss;0;4342;4342;0
855031788;Blackcong;0;4243;4243;70
853257593;Footsoldier;2;4221;4225;96
8622496;Waynes world1;0;4129;4129;75
10593569;Badvok the Bold;0;4064;4064;42
47808;vagelis99;0;4031;4031;0
849603210;TSTT;0;4013;4013;27
45238;Frodoo;0;3666;3666;31
850813028;Cylens;5;3522;3532;0
11899618;Master A;1;3383;3385;0
854648420;Pollar;1;3101;3103;65
4194345;becop;0;3091;3091;67
851800597;Meandmyself;0;3086;3086;0
853346321;Moiraine of the Blue;0;2921;2921;0
11807816;Dpunk;0;2904;2904;0
850331824;Brocksta;0;2893;2893;0
853116853;Master Jai;0;2890;2890;0
6141929;Carra;0;2768;2768;56
849566070;Aspandiat;0;2723;2723;0
850445151;Swan76;12;2605;2629;25
1436378;Dn4lor;0;2615;2615;82
851894029;Afrodite1;0;2522;2522;21
853520455;Phillip the Fair;0;2372;2372;19
827787;pywackit;0;2317;2317;0
1148549;mehdialone;1;2306;2308;0
850938639;Green II;2;2303;2307;0
854714000;sixtyodin;11;2243;2265;26
13086826;Alex The Great;0;2262;2262;0
12992719;ChilliBeanz62;1;2088;2090;25
850307582;Rex Bellator;0;2083;2083;0
12714764;Jaffa The O;0;2070;2070;0
850518321;alterdestiny;0;2037;2037;2
852477144;Koneig;0;2010;2010;0
849380627;FastGunner;0;1803;1803;2
851298155;willow324;0;1803;1803;0
4765723;djcdjc;0;1797;1797;41
13309306;Ser Arthur Dayne.;13;1731;1757;9
104779;VITORO;0;1607;1607;44
5589732;Brave Heart 72;0;1480;1480;7
11245188;Bernini;0;1466;1466;25
1891201;edman4444;0;1395;1395;6
5367654;King John of Ambler;6;1311;1323;0
850665098;Ellwinara;0;1293;1293;8
2465641;=Alpha=Wolf=;0;1290;1290;0
1726167;Bendrr;0;1249;1249;0
6730017;Peace.;0;1206;1206;1
850481022;TRTLC;0;1191;1191;0
851585890;SharpSabrina;0;1182;1182;0
853797540;Odinn;0;1100;1100;13
852293256;Rolanddd;0;1064;1064;0
1724508;cvetkovic;2;1012;1016;16
851616738;MagicI;0;1016;1016;101
10746047;George the kiwi;0;1013;1013;8
4749897;DutchTheIV;0;970;970;0
11482655;El Kabong;0;965;965;0
761097;gareth dragonsbane;0;760;760;75
851362281;Diabsian;0;392;392;0
849762034;Diddler;0;392;392;0
853774595;Mr Sonic;0;147;147;0
5374197;Pammy Norrie;0;28;28;0
