Player_ID;Player;Negotiations;Fights;Total;Attrition
705849;lasherbob;0;7020;7020;64
853257593;Footsoldier;18;5284;5320;128
1758550;marco965;0;5250;5250;92
12782869;Qi the coconut;0;4776;4776;65
9795849;Magnus the Terrible 439;325;4115;4765;65
4225910;Hadrian the Intrepid 121;0;4437;4437;106
4194345;becop;0;4359;4359;53
7954450;Bloody Pastor;71;4190;4332;39
2277993;Crusaderx;0;4242;4242;96
47808;vagelis99;0;4124;4124;17
5544177;michealscott123;0;3866;3866;64
45238;Frodoo;0;3838;3838;10
851598404;-Baba Yaga-;0;3783;3783;0
855031788;Blackcong;0;3710;3710;64
849762034;Diddler;0;3706;3706;0
855546281;pForm;0;3137;3137;55
851914808;Selene the Blessed 1233;0;3121;3121;1
6141929;Carra;0;3109;3109;9
854681998;Zodman;0;3092;3092;0
10593569;Badvok the Bold;0;2949;2949;8
851800597;Meandmyself;0;2884;2884;0
1428445;MarkD1964;0;2641;2641;3
853774595;Mr Sonic;0;2549;2549;0
854719448;ludwig2;0;2441;2441;45
9762415;0p1ate;0;2426;2426;53
104779;VITORO;0;2349;2349;0
850665098;Ellwinara;0;2272;2272;27
8622496;Waynes world1;0;2232;2232;52
849603210;TSTT;0;2201;2201;51
4765723;djcdjc;0;2132;2132;3
11899618;Master A;0;2038;2038;0
1148549;mehdialone;0;2036;2036;29
853267111;Kuniggsbog;0;2028;2028;0
853520455;Phillip the Fair;0;2021;2021;46
854882618;CCCC123;0;1954;1954;110
11807816;Dpunk;0;1954;1954;10
12992719;ChilliBeanz62;0;1907;1907;23
851616738;MagicI;0;1786;1786;47
850518321;alterdestiny;0;1778;1778;0
850445151;Swan76;32;1685;1749;37
853735377;MOMIS;0;1671;1671;31
850331824;Brocksta;0;1644;1644;0
849612867;TINY HEROS;0;1565;1565;0
849380627;FastGunner;0;1555;1555;18
849566070;Aspandiat;0;1547;1547;0
6730017;Peace.;0;1536;1536;0
12714764;Jaffa The O;1;1527;1529;0
851298155;willow324;0;1492;1492;0
9574867;Salikas;0;1446;1446;49
11245188;Bernini;0;1413;1413;28
854719004;soldier00;0;1335;1335;0
1891201;edman4444;0;1269;1269;6
854648420;Pollar;0;1250;1250;0
1436378;Dn4lor;0;1142;1142;28
827787;pywackit;0;1106;1106;10
5374197;Pammy Norrie;0;1033;1033;1
850938639;Green II;0;1024;1024;0
13309306;Ser Arthur Dayne.;0;1010;1010;0
761097;gareth dragonsbane;0;982;982;79
1724508;cvetkovic;0;968;968;0
5367654;King John of Ambler;0;877;877;8
850307582;Rex Bellator;0;873;873;3
852293256;Rolanddd;0;803;803;0
855299275;Thesseuss;0;734;734;0
4749897;DutchTheIV;0;663;663;0
854714000;sixtyodin;0;575;575;3
851585890;SharpSabrina;0;552;552;0
854554840;SirRobert Artur;0;552;552;0
2465641;=Alpha=Wolf=;0;504;504;0
11482655;El Kabong;0;391;391;13
