Player_ID;Player;Negotiations;Fights;Total;Attrition
12782869;Qi the coconut;0;16020;16020;216
47808;vagelis99;0;13480;13480;0
850813028;Cylens;0;12331;12331;230
849762034;Diddler;0;12062;12062;29
1758550;marco965;0;11700;11700;154
854304476;sidsid;0;10751;10751;103
4225910;Hadrian the Intrepid 121;0;10212;10212;136
854681998;Zodman;0;10090;10090;24
10593569;Badvok the Bold;0;9555;9555;84
8622496;Waynes world1;0;8802;8802;65
851800597;Meandmyself;0;8500;8500;0
4194345;becop;0;8329;8329;57
2277993;Crusaderx;0;8232;8232;71
851598404;-Baba Yaga-;0;8058;8058;107
705849;lasherbob;0;7818;7818;96
12213472;Crazy Caveman;0;7348;7348;0
853774595;Mr Sonic;0;6922;6922;0
849566070;Aspandiat;0;6864;6864;0
851616738;MagicI;0;6735;6735;27
11807816;Dpunk;0;6664;6664;11
45238;Frodoo;0;6601;6601;18
853132263;Lone Sloane 66;0;6355;6355;0
853267111;Kuniggsbog;0;5785;5785;0
9762415;0p1ate;0;5617;5617;16
9795849;Magnus the Terrible 439;345;4522;5212;26
5085500;Tarquinus the Lion 254;0;5040;5040;0
621093;THE CHIEF;0;4992;4992;0
853346321;Moiraine of the Blue;0;4771;4771;0
851549132;Herak;0;4614;4614;160
850307582;Rex Bellator;0;4550;4550;0
1148549;mehdialone;0;4502;4502;0
850938639;Green II;0;4388;4388;0
849612867;TINY HEROS;0;4372;4372;0
850518321;alterdestiny;0;4063;4063;0
850665098;Ellwinara;0;4004;4004;42
851914808;Selene the Blessed 1233;27;3920;3974;0
1428445;MarkD1964;0;3931;3931;0
851298155;willow324;0;3738;3738;0
4749897;DutchTheIV;0;3729;3729;0
849603210;TSTT;0;3584;3584;0
2465641;=Alpha=Wolf=;0;3580;3580;0
850331824;Brocksta;2;3423;3427;0
6141929;Carra;0;3380;3380;35
339141;Mikeytheonly;0;3366;3366;79
12714764;Jaffa The O;7;3334;3348;0
850445151;Swan76;35;3251;3321;0
1726167;Bendrr;0;3225;3225;0
851894029;Afrodite1;0;2943;2943;35
6723349;inb0x;0;2810;2810;0
853520455;Phillip the Fair;5;2790;2800;13
4765723;djcdjc;0;2659;2659;0
827787;pywackit;0;2605;2605;97
5367654;King John of Ambler;0;2602;2602;0
761097;gareth dragonsbane;0;2597;2597;18
12992719;ChilliBeanz62;0;2504;2504;24
851362281;Diabsian;0;2432;2432;0
853116853;Master Jai;0;2426;2426;0
1891201;edman4444;0;2270;2270;0
104779;VITORO;0;1969;1969;0
5374197;Pammy Norrie;0;1875;1875;19
13309306;Ser Arthur Dayne.;1;1873;1875;0
853797540;Odinn;0;1733;1733;0
2279421;Warriorpoet;0;1455;1455;0
6730017;Peace.;0;1400;1400;0
11482655;El Kabong;0;1349;1349;25
1724508;cvetkovic;0;1323;1323;0
10908871;Meru;0;1219;1219;0
849380627;FastGunner;0;1116;1116;8
1436378;Dn4lor;42;1012;1096;7
13086826;Alex The Great;0;1042;1042;0
854172183;GabyBB;0;937;937;0
11245188;Bernini;0;929;929;0
852437505;Rhino8;0;648;648;0
852293256;Rolanddd;0;429;429;12
7330083;S3xy Beast;0;316;316;0
