Player_ID;Player;Negotiations;Fights;Total;Attrition
12782869;Qi the coconut;0;16034;16034;250
47808;vagelis99;0;11844;11844;121
4225910;Hadrian the Intrepid 121;0;10500;10500;213
10593569;Badvok the Bold;0;10337;10337;186
854681998;Zodman;0;9970;9970;186
2277993;Crusaderx;0;7628;7628;69
851800597;Meandmyself;0;7176;7176;20
851598404;-Baba Yaga-;0;7087;7087;112
9795849;Magnus the Terrible 439;310;6363;6983;164
11807816;Dpunk;0;6900;6900;80
9762415;0p1ate;0;6080;6080;4
45238;Frodoo;0;6000;6000;145
2467302;Akita;0;5979;5979;13
339141;Mikeytheonly;0;5929;5929;93
853116853;Master Jai;0;5898;5898;0
853132263;Joan of Arc 180;0;5382;5382;12
851616738;MagicI;0;5225;5225;82
849603210;TSTT;0;4871;4871;193
4765723;djcdjc;0;4814;4814;132
1428445;MarkD1964;0;4813;4813;199
849762034;Diddler;0;4715;4715;0
851894029;Afrodite1;0;4652;4652;7
12985636;Thea the White 934;0;4392;4392;59
705849;lasherbob;0;4295;4295;0
853520455;Phillip the Fair;0;3916;3916;20
8622496;Waynes world1;0;3882;3882;31
827787;pywackit;0;3712;3712;64
849566070;Aspandiat;0;3269;3269;0
5085500;Tarquinus the Lion 254;0;3161;3161;0
4194345;becop;0;3111;3111;0
850445151;Swan76;16;2903;2935;93
1148549;mehdialone;0;2929;2929;0
1726167;Bendrr;0;2767;2767;0
854172183;Gabyb;0;2590;2590;22
1724508;cvetkovic;0;2554;2554;0
850938639;Green II;0;2553;2553;0
850856498;FOE King Great;0;2514;2514;28
6451595;kamaika;0;2503;2503;10
12992719;ChilliBeanz62;0;2351;2351;10
11905133;Catacus;0;2344;2344;106
5367654;King John of Ambler;0;2295;2295;0
5374197;Pammy Norrie;0;2223;2223;9
852293256;Rolanddd;0;2200;2200;0
1891201;edman4444;0;2054;2054;45
850665098;Ellwinara;0;2026;2026;6
6723349;inb0x;0;1916;1916;0
4749897;DutchTheIV;0;1634;1634;0
2279421;Warriorpoet;0;1604;1604;4
849612867;TINY HEROS;0;1543;1543;12
13086826;Alex The Great;0;1530;1530;0
104779;VITORO;0;1509;1509;69
11482655;El Kabong;0;1434;1434;100
10908871;Meru;0;1324;1324;0
8306456;SCOTTBUL;0;1268;1268;21
851298155;willow324;0;1233;1233;18
6141929;Carra;0;1218;1218;32
853774595;Mr Sonic;0;1207;1207;0
11245188;Bernini;0;1205;1205;0
12213472;Crazy Caveman;0;1032;1032;0
40674;vfrmark;0;1023;1023;20
851549132;Herak;0;1009;1009;138
13309306;Ser Arthur Dayne.;0;951;951;118
6730017;Peace.;0;932;932;22
853797540;Odinn;0;824;824;10
2465641;=Alpha=Wolf=;0;803;803;0
12714764;Jaffa The O;0;784;784;0
851362281;Diabsian;0;758;758;0
849380627;FastGunner;0;734;734;21
1436378;Dn4lor;57;486;600;1
853267111;Kuniggsbog;0;338;338;0
850307582;Rex Bellator;0;322;322;0
850331824;Brocksta;0;317;317;0
852437505;Rhino8;0;289;289;0
1704186;Old No 7;0;271;271;0
7330083;S3xy Beast;1;91;93;0
850813028;Cylens;0;0;0;0
