Player_ID;Player;Negotiations;Fights;Total;Attrition
853267111;Kuniggsbog;0;7573;7573;60
853257593;Footsoldier;34;7033;7101;120
705849;lasherbob;0;6691;6691;22
2277993;Crusaderx;0;6107;6107;13
1758550;marco965;0;5950;5950;85
851598404;-Baba Yaga-;1;5797;5799;29
851616738;MagicI;0;5531;5531;4
851914808;Selene the Blessed 1233;0;5457;5457;26
1428445;MarkD1964;0;5424;5424;0
4225910;Hadrian the Intrepid 121;0;5342;5342;51
47808;vagelis99;0;5122;5122;7
7954450;Bloody Pastor;97;4884;5078;62
853735377;MOMIS;0;4947;4947;0
849603210;TSTT;0;4923;4923;95
9795849;Magnus the Terrible 439;275;4279;4829;18
9762415;0p1ate;0;4608;4608;53
849612867;TINY HEROS;3;4392;4398;0
11899618;Master A;0;4334;4334;0
12782869;Qi the coconut;0;4293;4293;0
854681998;Zodman;0;4050;4050;6
6141929;Carra;0;4048;4048;23
8622496;Waynes world1;0;3888;3888;68
854719004;soldier00;0;3761;3761;0
849380627;FastGunner;0;3638;3638;18
855299275;Thesseuss;0;3589;3589;29
855031788;Blackcong;0;3541;3541;65
849762034;Diddler;0;3509;3509;51
850665098;Ellwinara;0;3465;3465;58
10593569;Badvok the Bold;0;3449;3449;0
4765723;djcdjc;0;3425;3425;18
853520455;Phillip the Fair;5;3336;3346;36
854882618;CCCC123;0;3339;3339;84
1148549;mehdialone;0;3280;3280;41
45238;Frodoo;0;3261;3261;0
851800597;Meandmyself;0;3222;3222;0
853774595;Mr Sonic;0;3155;3155;0
853116853;Master Jai;0;3137;3137;0
850518321;alterdestiny;0;3110;3110;0
4749897;DutchTheIV;0;3081;3081;0
12992719;ChilliBeanz62;0;3063;3063;66
4194345;becop;0;2948;2948;0
1891201;edman4444;0;2781;2781;0
827787;pywackit;0;2732;2732;20
854648420;Pollar;0;2523;2523;25
11482655;El Kabong;0;2456;2456;0
9574867;Salikas;0;2439;2439;0
11807816;Dpunk;0;2405;2405;0
850445151;Swan76;54;2155;2263;0
849566070;Aspandiat;1;2254;2256;0
5367654;King John of Ambler;0;2218;2218;0
12714764;Jaffa The O;3;2173;2179;32
11245188;Bernini;0;2054;2054;0
854714000;sixtyodin;3;2043;2049;15
13309306;Ser Arthur Dayne.;3;2033;2039;9
850938639;Green II;0;2035;2035;0
1436378;Dn4lor;0;1953;1953;12
1726167;Bendrr;0;1942;1942;0
855747649;Captain Sling;0;1924;1924;0
850331824;Brocksta;0;1809;1809;0
851298155;willow324;0;1805;1805;0
850307582;Rex Bellator;0;1688;1688;0
104779;VITORO;0;1596;1596;0
852293256;Rolanddd;0;1448;1448;0
851585890;SharpSabrina;0;1391;1391;0
6730017;Peace.;0;1359;1359;0
5374197;Pammy Norrie;0;1330;1330;0
1724508;cvetkovic;0;1254;1254;4
761097;gareth dragonsbane;0;1103;1103;0
854554840;SirRobert Artur;0;1055;1055;0
2465641;=Alpha=Wolf=;0;1039;1039;0
850481022;TRTLC;0;801;801;0
