Player_ID;Player;Negotiations;Fights;Total;Attrition
705849;lasherbob;0;8884;8884;13
853267111;Kuniggsbog;0;7866;7866;59
4225910;Hadrian the Intrepid 121;0;7088;7088;99
1234051;Devils Deciple.;0;6699;6699;59
1758550;marco965;0;6623;6623;45
10593569;Badvok the Bold;0;6397;6397;45
851598404;-Baba Yaga-;0;6324;6324;5
7954450;Bloody Pastor;121;5953;6195;101
9795849;Magnus the Terrible 439;630;4616;5876;52
2277993;Crusaderx;0;5767;5767;99
849603210;TSTT;0;5741;5741;139
851513926;-=LEO=-;1;5729;5731;39
9762415;0p1ate;0;5710;5710;51
851914808;Selene the Blessed 1233;0;5536;5536;20
854681998;Zodman;0;4825;4825;26
853735377;MOMIS;0;4815;4815;0
855546281;pForm;0;4654;4654;43
6141929;Carra;0;4532;4532;93
8622496;Waynes world1;0;4298;4298;85
850938639;Green II;0;4247;4247;10
849566070;Aspandiat;0;4219;4219;0
45238;Frodoo;0;4173;4173;13
1891201;edman4444;0;4161;4161;13
853659232;friendly;0;4124;4124;18
855031788;Blackcong;0;3947;3947;60
5544177;michealscott123;0;3845;3845;0
852945970;Rider on the Storm;0;3639;3639;0
11442171;High Lord Timbum;0;3604;3604;5
849694740;Mournblade;0;3484;3484;36
849612867;TINY HEROS;21;3413;3455;0
11899618;Master A;0;3418;3418;0
855640309;Claudius titus;0;3384;3384;23
851298155;willow324;0;3375;3375;0
850518321;alterdestiny;0;3290;3290;0
854648420;Pollar;0;3215;3215;0
851800597;Meandmyself;0;3194;3194;0
11807816;Dpunk;0;3176;3176;7
12992719;ChilliBeanz62;0;3111;3111;89
850665098;Ellwinara;0;3079;3079;84
4194345;becop;0;3075;3075;0
850445151;Swan76;23;3027;3073;13
827787;pywackit;0;3023;3023;10
40674;VFRMark.;0;2932;2932;15
850331824;Brocksta;13;2830;2856;0
12685645;Brudzilla;0;2780;2780;0
853520455;Phillip the Fair;0;2562;2562;2
3556826;peri1;0;2449;2449;48
851616738;MagicI;0;2350;2350;4
854719004;soldier00;0;2306;2306;0
13309306;Ser Arthur Dayne.;0;2246;2246;25
12351572;Cliff59;0;2176;2176;8
4749897;DutchTheIV;0;2176;2176;75
853106102;Brad Field of green;0;2084;2084;5
9574867;Salikas;0;1949;1949;0
853109616;VixenQueen;0;1945;1945;0
854719448;ludwig2;0;1853;1853;36
854882618;CCCC123;0;1700;1700;19
11245188;Bernini;0;1695;1695;27
5367654;King John of Ambler;0;1624;1624;0
5374197;Pammy Norrie;0;1594;1594;1
849380627;FastGunner;0;1570;1570;0
853197494;DaFunkyMonkey;0;1554;1554;0
852293256;Rolanddd;0;1513;1513;0
850307582;Rex Bellator;0;1401;1401;0
853564293;Waikis;0;1317;1317;9
104779;VITORO;0;1201;1201;10
1724508;cvetkovic;0;1073;1073;0
1436378;Dn4lor;0;1025;1025;7
2465641;=Alpha=Wolf=;0;996;996;0
11482655;El Kabong;0;958;958;0
854714000;sixtyodin;0;750;750;0
854554840;SirRobert Artur;0;490;490;0
853797540;Odinn;0;448;448;0
1148549;mehdialone;0;82;82;0
