Player_ID;Player;Negotiations;Fights;Total;Attrition
12782869;Qi the coconut;0;15728;15728;240
705849;lasherbob;0;14277;14277;217
47808;vagelis99;0;12847;12847;156
849566070;Aspandiat;1;10700;10702;82
10593569;Badvok the Bold;0;10693;10693;197
849762034;Diddler;0;10170;10170;52
854681998;Zodman;72;10002;10146;173
4225910;Hadrian the Intrepid 121;0;10061;10061;221
853267111;Kuniggsbog;0;9054;9054;0
851598404;-Baba Yaga-;0;8864;8864;112
2277993;Crusaderx;0;8800;8800;183
6723349;inb0x;0;8630;8630;108
13086826;Alex The Great;4;8410;8418;0
12213472;Crazy Caveman;1;8250;8252;13
9795849;Magnus the Terrible 439;360;7334;8054;142
4765723;djcdjc;0;8030;8030;125
851616738;MagicI;0;7924;7924;124
339141;Mikeytheonly;0;7795;7795;201
851800597;Meandmyself;0;7487;7487;0
849603210;TSTT;0;7376;7376;175
850518321;alterdestiny;0;7311;7311;0
11807816;Dpunk;0;7289;7289;103
6141929;Carra;0;7253;7253;65
5085500;Tarquinus the Lion 254;0;6965;6965;173
9762415;0p1ate;0;6539;6539;151
853116853;Master Jai;0;6492;6492;0
1891201;edman4444;0;6401;6401;0
1436378;Dn4lor;26;5984;6036;23
853774595;Mr Sonic;0;6032;6032;129
849645425;TJunior;5;6013;6023;0
1428445;MarkD1964;0;5466;5466;0
12992719;ChilliBeanz62;0;5350;5350;16
11905133;Catacus;0;5279;5279;0
853132263;Joan of Arc 180;0;4798;4798;0
104779;VITORO;0;4765;4765;31
5367654;King John of Ambler;0;4621;4621;0
851298155;willow324;0;4595;4595;0
850445151;Swan76;26;4538;4590;14
12714764;Jaffa The O;15;4553;4583;89
852293256;Rolanddd;0;4557;4557;0
853520455;Phillip the Fair;0;4461;4461;66
849612867;TINY HEROS;0;4447;4447;0
45238;Frodoo;0;4444;4444;67
1148549;mehdialone;0;4327;4327;80
10908871;Meru;0;4268;4268;51
6730017;Peace.;0;4215;4215;0
851894029;Afrodite1;1;4174;4176;0
850307582;Rex Bellator;0;3864;3864;0
854172183;GabyBB;0;3831;3831;174
851549132;Herak;0;3751;3751;0
11482655;El Kabong;0;3606;3606;42
850665098;Ellwinara;0;3475;3475;3
40674;vfrmark;0;3423;3423;33
1726167;Bendrr;0;3326;3326;0
4194345;becop;0;3224;3224;29
2465641;=Alpha=Wolf=;0;3193;3193;0
8306456;SCOTTBUL;0;2812;2812;29
852437505;Rhino8;0;2810;2810;0
849380627;FastGunner;0;2689;2689;51
8622496;Waynes world1;0;2331;2331;0
1724508;cvetkovic;0;2264;2264;96
850938639;Green II;0;2217;2217;0
827787;pywackit;0;2126;2126;0
851362281;Diabsian;0;2101;2101;0
11245188;Bernini;0;1929;1929;3
13309306;Ser Arthur Dayne.;1;1893;1895;0
5374197;Pammy Norrie;0;1889;1889;0
853797540;Odinn;0;1660;1660;0
2279421;Warriorpoet;0;1649;1649;0
852162955;Sean the Unsteady;0;1560;1560;0
1704186;Old No 7;0;1300;1300;0
4749897;DutchTheIV;0;711;711;0
12985636;Thea the White 934;0;584;584;0
7330083;S3xy Beast;0;391;391;0
