Player_ID;Player;Negotiations;Fights;Total;Attrition
12782869;Qi the coconut;0;18258;18258;215
705849;lasherbob;0;14882;14882;152
10537728;simon1976;0;14375;14375;182
47808;vagelis99;0;12286;12286;0
8622496;Waynes world1;0;11959;11959;194
850813028;Cylens;0;11820;11820;101
854304476;sidsid;0;10113;10113;0
849762034;Diddler;0;9254;9254;0
10593569;Badvok the Bold;0;7866;7866;0
11807816;Dpunk;0;6763;6763;11
6723349;inb0x;0;6606;6606;0
854681998;Zodman;0;6208;6208;13
9795849;Magnus the Terrible 439;260;5598;6118;40
851598404;-Baba Yaga-;0;5459;5459;13
621093;THE CHIEF;0;5089;5089;120
4225910;Hadrian the Intrepid 121;0;4883;4883;101
4194345;becop;0;4278;4278;0
849603210;TSTT;0;3802;3802;74
850331824;Brocksta;0;3422;3422;0
853132263;Lone Sloane 66;0;3218;3218;0
851800597;Meandmyself;0;2722;2722;0
45238;Frodoo;0;2690;2690;0
827787;pywackit;0;2489;2489;10
1428445;MarkD1964;0;2452;2452;7
5085500;Tarquinus the Lion 254;0;2408;2408;0
1148549;mehdialone;0;2267;2267;11
850445151;Swan76;11;1856;1878;0
849612867;TINY HEROS;0;1876;1876;0
1726167;Bendrr;0;1741;1741;0
4765723;djcdjc;0;1713;1713;0
851298155;willow324;0;1657;1657;0
851616738;MagicI;0;1583;1583;10
9762415;0p1ate;0;1499;1499;3
854648420;Pollar;0;1486;1486;16
853520455;Phillip the Fair;0;1271;1271;9
851894029;Afrodite1;0;1266;1266;14
853774595;Mr Sonic;1;1257;1259;0
2465641;=Alpha=Wolf=;0;1211;1211;0
850938639;Green II;0;1152;1152;0
853267111;Kuniggsbog;0;1137;1137;0
6730017;Peace.;0;1061;1061;0
5367654;King John of Ambler;0;1022;1022;0
853116853;Master Jai;0;1011;1011;0
12714764;Jaffa The O;1;996;998;4
1891201;edman4444;0;916;916;0
4749897;DutchTheIV;0;912;912;0
6141929;Carra;0;896;896;0
761097;gareth dragonsbane;0;893;893;48
2277993;Crusaderx;0;827;827;16
5374197;Pammy Norrie;0;820;820;0
853797540;Odinn;0;815;815;29
104779;VITORO;0;807;807;0
849068862;Ken*;0;674;674;17
1724508;cvetkovic;0;666;666;0
851914808;Selene the Blessed 1233;12;635;659;0
11245188;Bernini;0;638;638;0
853346321;Moiraine of the Blue;0;610;610;3
850665098;Ellwinara;0;530;530;11
849380627;FastGunner;0;519;519;2
12992719;ChilliBeanz62;0;497;497;3
851362281;Diabsian;0;416;416;0
851549132;Herak;0;400;400;0
850518321;alterdestiny;0;353;353;1
849566070;Aspandiat;0;332;332;0
2279421;Warriorpoet;0;324;324;0
850307582;Rex Bellator;0;321;321;0
11482655;El Kabong;0;196;196;0
854829381;Amimizuno;0;162;162;0
10908871;Meru;0;158;158;0
13309306;Ser Arthur Dayne.;0;146;146;0
852293256;Rolanddd;0;84;84;0
854172183;GabyBB;0;77;77;0
13086826;Alex The Great;0;59;59;0
852736395;Lalo-Salamanca;0;39;39;0
850481022;TRTLC;0;34;34;0
1436378;Dn4lor;0;11;11;0
