Player_ID;Player;Negotiations;Fights;Total;Attrition
5544177;michealscott123;0;25448;25448;420
853267111;Kuniggsbog;0;8282;8282;1
705849;lasherbob;0;7823;7823;22
4225910;Hadrian the Intrepid 121;0;7768;7768;164
1758550;marco965;0;7438;7438;99
9795849;Magnus the Terrible 439;550;5318;6418;37
851598404;-Baba Yaga-;0;5900;5900;6
10593569;Badvok the Bold;0;5493;5493;107
855546281;pForm;0;5429;5429;16
2277993;Crusaderx;0;5296;5296;45
9762415;0p1ate;0;5055;5055;46
851914808;Selene the Blessed 1233;0;4988;4988;38
855031788;Blackcong;0;4632;4632;79
6141929;Carra;0;4608;4608;29
40674;VFRMark.;10;4539;4559;0
8622496;Waynes world1;0;4427;4427;84
11442171;High Lord Timbum;0;4397;4397;0
849566070;Aspandiat;0;4205;4205;0
851513926;-=LEO=-;0;4122;4122;113
849603210;TSTT;0;4052;4052;70
854681998;Zodman;0;4043;4043;0
11899618;Master A;0;3927;3927;0
1234051;Devils Deciple.;0;3917;3917;0
853735377;MOMIS;0;3916;3916;0
45238;Frodoo;0;3854;3854;0
851298155;willow324;0;3828;3828;15
1891201;edman4444;0;3737;3737;0
12685645;Brudzilla;0;3650;3650;10
11807816;Dpunk;0;3382;3382;0
4194345;becop;0;3341;3341;0
850445151;Swan76;33;3104;3170;35
855640309;Claudius titus;0;3121;3121;4
851800597;Meandmyself;0;3089;3089;0
12992719;ChilliBeanz62;0;3062;3062;38
850518321;alterdestiny;0;3034;3034;0
851616738;MagicI;0;2996;2996;17
11245188;Bernini;0;2960;2960;0
853520455;Phillip the Fair;0;2951;2951;26
850331824;Brocksta;0;2857;2857;0
827787;pywackit;0;2787;2787;53
854648420;Pollar;0;2767;2767;0
853659232;friendly;0;2637;2637;0
849380627;FastGunner;0;2483;2483;16
1148549;mehdialone;0;2483;2483;40
853109616;VixenQueen;4;2443;2451;39
854719448;ludwig2;0;2302;2302;27
13309306;Ser Arthur Dayne.;1;2295;2297;85
849612867;TINY HEROS;0;2265;2265;15
1436378;Dn4lor;0;2179;2179;15
4749897;DutchTheIV;0;2144;2144;30
5367654;King John of Ambler;0;2112;2112;0
854882618;CCCC123;0;2039;2039;10
12351572;Cliff59;0;1954;1954;52
850307582;Rex Bellator;0;1750;1750;29
11482655;El Kabong;0;1710;1710;24
5374197;Pammy Norrie;0;1628;1628;18
853564293;Waikis;0;1386;1386;0
104779;VITORO;0;1337;1337;0
9574867;Salikas;0;1330;1330;0
854719004;soldier00;0;1173;1173;0
1724508;cvetkovic;0;1106;1106;0
854714000;sixtyodin;0;1027;1027;31
3556826;peri1;0;982;982;0
2465641;=Alpha=Wolf=;0;974;974;0
853797540;Odinn;0;806;806;2
851585890;SharpSabrina;0;703;703;0
850665098;Ellwinara;0;630;630;0
761097;gareth dragonsbane;0;623;623;0
854554840;SirRobert Artur;0;564;564;0
853106102;Brad Field of green;0;494;494;0
852293256;Rolanddd;0;421;421;0
